flat_idx	TianS1_key	TianS1_label	TianS2_key	TianS2_label	TianS3_key	TianS3_label	TianS4_key	TianS4_label
339534	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339535	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339630	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339631	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339632	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339726	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339727	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339728	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339729	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339823	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339824	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339825	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339919	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339920	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339921	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
339922	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
340015	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340016	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340017	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
340018	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
340112	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340113	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340114	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340115	9	HIP-lh	18	pHIP-lh	28	HIP-body-lh	33	HIP-body-lh
340208	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340209	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
340210	9	HIP-lh	17	aHIP-lh	27	HIP-head-l-lh	32	HIP-head-l-lh
