flat_idx	key	within_idx	label	i	j	k	x	y	z
339534	1	1	Tian_Subcortex	30	50	34	-36.5	-32.5	-10.5
339535	1	2	Tian_Subcortex	30	50	35	-36.5	-32.5	-8.5
339630	1	3	Tian_Subcortex	30	51	33	-36.5	-30.5	-12.5
339631	1	4	Tian_Subcortex	30	51	34	-36.5	-30.5	-10.5
339632	1	5	Tian_Subcortex	30	51	35	-36.5	-30.5	-8.5
339726	1	6	Tian_Subcortex	30	52	32	-36.5	-28.5	-14.5
339727	1	7	Tian_Subcortex	30	52	33	-36.5	-28.5	-12.5
339728	1	8	Tian_Subcortex	30	52	34	-36.5	-28.5	-10.5
339729	1	9	Tian_Subcortex	30	52	35	-36.5	-28.5	-8.5
339823	1	10	Tian_Subcortex	30	53	32	-36.5	-26.5	-14.5
339824	1	11	Tian_Subcortex	30	53	33	-36.5	-26.5	-12.5
339825	1	12	Tian_Subcortex	30	53	34	-36.5	-26.5	-10.5
339919	1	13	Tian_Subcortex	30	54	31	-36.5	-24.5	-16.5
339920	1	14	Tian_Subcortex	30	54	32	-36.5	-24.5	-14.5
339921	1	15	Tian_Subcortex	30	54	33	-36.5	-24.5	-12.5
339922	1	16	Tian_Subcortex	30	54	34	-36.5	-24.5	-10.5
340015	1	17	Tian_Subcortex	30	55	30	-36.5	-22.5	-18.5
340016	1	18	Tian_Subcortex	30	55	31	-36.5	-22.5	-16.5
340017	1	19	Tian_Subcortex	30	55	32	-36.5	-22.5	-14.5
340018	1	20	Tian_Subcortex	30	55	33	-36.5	-22.5	-12.5
340112	1	21	Tian_Subcortex	30	56	30	-36.5	-20.5	-18.5
340113	1	22	Tian_Subcortex	30	56	31	-36.5	-20.5	-16.5
340114	1	23	Tian_Subcortex	30	56	32	-36.5	-20.5	-14.5
340115	1	24	Tian_Subcortex	30	56	33	-36.5	-20.5	-12.5
340208	1	25	Tian_Subcortex	30	57	29	-36.5	-18.5	-20.5
340209	1	26	Tian_Subcortex	30	57	30	-36.5	-18.5	-18.5
340210	1	27	Tian_Subcortex	30	57	31	-36.5	-18.5	-16.5
340211	1	28	Tian_Subcortex	30	57	32	-36.5	-18.5	-14.5
340305	1	29	Tian_Subcortex	30	58	29	-36.5	-16.5	-20.5
340306	1	30	Tian_Subcortex	30	58	30	-36.5	-16.5	-18.5
340307	1	31	Tian_Subcortex	30	58	31	-36.5	-16.5	-16.5
350496	1	32	Tian_Subcortex	31	48	35	-34.5	-36.5	-8.5
350497	1	33	Tian_Subcortex	31	48	36	-34.5	-36.5	-6.5
350592	1	34	Tian_Subcortex	31	49	34	-34.5	-34.5	-10.5
350593	1	35	Tian_Subcortex	31	49	35	-34.5	-34.5	-8.5
350594	1	36	Tian_Subcortex	31	49	36	-34.5	-34.5	-6.5
350688	1	37	Tian_Subcortex	31	50	33	-34.5	-32.5	-12.5
350689	1	38	Tian_Subcortex	31	50	34	-34.5	-32.5	-10.5
350690	1	39	Tian_Subcortex	31	50	35	-34.5	-32.5	-8.5
350691	1	40	Tian_Subcortex	31	50	36	-34.5	-32.5	-6.5
350785	1	41	Tian_Subcortex	31	51	33	-34.5	-30.5	-12.5
350786	1	42	Tian_Subcortex	31	51	34	-34.5	-30.5	-10.5
350787	1	43	Tian_Subcortex	31	51	35	-34.5	-30.5	-8.5
350788	1	44	Tian_Subcortex	31	51	36	-34.5	-30.5	-6.5
350881	1	45	Tian_Subcortex	31	52	32	-34.5	-28.5	-14.5
350882	1	46	Tian_Subcortex	31	52	33	-34.5	-28.5	-12.5
350883	1	47	Tian_Subcortex	31	52	34	-34.5	-28.5	-10.5
350884	1	48	Tian_Subcortex	31	52	35	-34.5	-28.5	-8.5
350977	1	49	Tian_Subcortex	31	53	31	-34.5	-26.5	-16.5
350978	1	50	Tian_Subcortex	31	53	32	-34.5	-26.5	-14.5
350979	1	51	Tian_Subcortex	31	53	33	-34.5	-26.5	-12.5
350980	1	52	Tian_Subcortex	31	53	34	-34.5	-26.5	-10.5
350981	1	53	Tian_Subcortex	31	53	35	-34.5	-26.5	-8.5
351073	1	54	Tian_Subcortex	31	54	30	-34.5	-24.5	-18.5
351074	1	55	Tian_Subcortex	31	54	31	-34.5	-24.5	-16.5
351075	1	56	Tian_Subcortex	31	54	32	-34.5	-24.5	-14.5
351076	1	57	Tian_Subcortex	31	54	33	-34.5	-24.5	-12.5
351077	1	58	Tian_Subcortex	31	54	34	-34.5	-24.5	-10.5
351169	1	59	Tian_Subcortex	31	55	29	-34.5	-22.5	-20.5
351170	1	60	Tian_Subcortex	31	55	30	-34.5	-22.5	-18.5
351171	1	61	Tian_Subcortex	31	55	31	-34.5	-22.5	-16.5
351172	1	62	Tian_Subcortex	31	55	32	-34.5	-22.5	-14.5
351173	1	63	Tian_Subcortex	31	55	33	-34.5	-22.5	-12.5
351174	1	64	Tian_Subcortex	31	55	34	-34.5	-22.5	-10.5
351266	1	65	Tian_Subcortex	31	56	29	-34.5	-20.5	-20.5
351267	1	66	Tian_Subcortex	31	56	30	-34.5	-20.5	-18.5
351268	1	67	Tian_Subcortex	31	56	31	-34.5	-20.5	-16.5
351269	1	68	Tian_Subcortex	31	56	32	-34.5	-20.5	-14.5
351270	1	69	Tian_Subcortex	31	56	33	-34.5	-20.5	-12.5
351362	1	70	Tian_Subcortex	31	57	28	-34.5	-18.5	-22.5
351363	1	71	Tian_Subcortex	31	57	29	-34.5	-18.5	-20.5
351364	1	72	Tian_Subcortex	31	57	30	-34.5	-18.5	-18.5
351365	1	73	Tian_Subcortex	31	57	31	-34.5	-18.5	-16.5
351366	1	74	Tian_Subcortex	31	57	32	-34.5	-18.5	-14.5
351371	1	75	Tian_Subcortex	31	57	37	-34.5	-18.5	-4.5
351372	1	76	Tian_Subcortex	31	57	38	-34.5	-18.5	-2.5
351458	1	77	Tian_Subcortex	31	58	27	-34.5	-16.5	-24.5
351459	1	78	Tian_Subcortex	31	58	28	-34.5	-16.5	-22.5
351460	1	79	Tian_Subcortex	31	58	29	-34.5	-16.5	-20.5
351461	1	80	Tian_Subcortex	31	58	30	-34.5	-16.5	-18.5
351462	1	81	Tian_Subcortex	31	58	31	-34.5	-16.5	-16.5
351463	1	82	Tian_Subcortex	31	58	32	-34.5	-16.5	-14.5
351466	1	83	Tian_Subcortex	31	58	35	-34.5	-16.5	-8.5
351467	1	84	Tian_Subcortex	31	58	36	-34.5	-16.5	-6.5
351468	1	85	Tian_Subcortex	31	58	37	-34.5	-16.5	-4.5
351469	1	86	Tian_Subcortex	31	58	38	-34.5	-16.5	-2.5
351470	1	87	Tian_Subcortex	31	58	39	-34.5	-16.5	-0.5
351471	1	88	Tian_Subcortex	31	58	40	-34.5	-16.5	1.5
351555	1	89	Tian_Subcortex	31	59	27	-34.5	-14.5	-24.5
351556	1	90	Tian_Subcortex	31	59	28	-34.5	-14.5	-22.5
351557	1	91	Tian_Subcortex	31	59	29	-34.5	-14.5	-20.5
351558	1	92	Tian_Subcortex	31	59	30	-34.5	-14.5	-18.5
351559	1	93	Tian_Subcortex	31	59	31	-34.5	-14.5	-16.5
351563	1	94	Tian_Subcortex	31	59	35	-34.5	-14.5	-8.5
351564	1	95	Tian_Subcortex	31	59	36	-34.5	-14.5	-6.5
351565	1	96	Tian_Subcortex	31	59	37	-34.5	-14.5	-4.5
351566	1	97	Tian_Subcortex	31	59	38	-34.5	-14.5	-2.5
351567	1	98	Tian_Subcortex	31	59	39	-34.5	-14.5	-0.5
351568	1	99	Tian_Subcortex	31	59	40	-34.5	-14.5	1.5
351651	1	100	Tian_Subcortex	31	60	26	-34.5	-12.5	-26.5
351652	1	101	Tian_Subcortex	31	60	27	-34.5	-12.5	-24.5
351653	1	102	Tian_Subcortex	31	60	28	-34.5	-12.5	-22.5
351654	1	103	Tian_Subcortex	31	60	29	-34.5	-12.5	-20.5
351655	1	104	Tian_Subcortex	31	60	30	-34.5	-12.5	-18.5
351662	1	105	Tian_Subcortex	31	60	37	-34.5	-12.5	-4.5
351663	1	106	Tian_Subcortex	31	60	38	-34.5	-12.5	-2.5
351664	1	107	Tian_Subcortex	31	60	39	-34.5	-12.5	-0.5
351665	1	108	Tian_Subcortex	31	60	40	-34.5	-12.5	1.5
351666	1	109	Tian_Subcortex	31	60	41	-34.5	-12.5	3.5
351759	1	110	Tian_Subcortex	31	61	37	-34.5	-10.5	-4.5
351760	1	111	Tian_Subcortex	31	61	38	-34.5	-10.5	-2.5
351761	1	112	Tian_Subcortex	31	61	39	-34.5	-10.5	-0.5
351762	1	113	Tian_Subcortex	31	61	40	-34.5	-10.5	1.5
351763	1	114	Tian_Subcortex	31	61	41	-34.5	-10.5	3.5
351856	1	115	Tian_Subcortex	31	62	37	-34.5	-8.5	-4.5
351857	1	116	Tian_Subcortex	31	62	38	-34.5	-8.5	-2.5
351858	1	117	Tian_Subcortex	31	62	39	-34.5	-8.5	-0.5
351859	1	118	Tian_Subcortex	31	62	40	-34.5	-8.5	1.5
351860	1	119	Tian_Subcortex	31	62	41	-34.5	-8.5	3.5
351953	1	120	Tian_Subcortex	31	63	37	-34.5	-6.5	-4.5
351954	1	121	Tian_Subcortex	31	63	38	-34.5	-6.5	-2.5
351955	1	122	Tian_Subcortex	31	63	39	-34.5	-6.5	-0.5
351956	1	123	Tian_Subcortex	31	63	40	-34.5	-6.5	1.5
351957	1	124	Tian_Subcortex	31	63	41	-34.5	-6.5	3.5
352040	1	125	Tian_Subcortex	31	64	27	-34.5	-4.5	-24.5
352041	1	126	Tian_Subcortex	31	64	28	-34.5	-4.5	-22.5
352042	1	127	Tian_Subcortex	31	64	29	-34.5	-4.5	-20.5
352050	1	128	Tian_Subcortex	31	64	37	-34.5	-4.5	-4.5
352051	1	129	Tian_Subcortex	31	64	38	-34.5	-4.5	-2.5
352052	1	130	Tian_Subcortex	31	64	39	-34.5	-4.5	-0.5
352053	1	131	Tian_Subcortex	31	64	40	-34.5	-4.5	1.5
352054	1	132	Tian_Subcortex	31	64	41	-34.5	-4.5	3.5
352137	1	133	Tian_Subcortex	31	65	27	-34.5	-2.5	-24.5
352138	1	134	Tian_Subcortex	31	65	28	-34.5	-2.5	-22.5
352139	1	135	Tian_Subcortex	31	65	29	-34.5	-2.5	-20.5
352140	1	136	Tian_Subcortex	31	65	30	-34.5	-2.5	-18.5
352147	1	137	Tian_Subcortex	31	65	37	-34.5	-2.5	-4.5
352148	1	138	Tian_Subcortex	31	65	38	-34.5	-2.5	-2.5
352149	1	139	Tian_Subcortex	31	65	39	-34.5	-2.5	-0.5
352150	1	140	Tian_Subcortex	31	65	40	-34.5	-2.5	1.5
352235	1	141	Tian_Subcortex	31	66	28	-34.5	-0.5	-22.5
352236	1	142	Tian_Subcortex	31	66	29	-34.5	-0.5	-20.5
352237	1	143	Tian_Subcortex	31	66	30	-34.5	-0.5	-18.5
361555	1	144	Tian_Subcortex	32	47	36	-32.5	-38.5	-6.5
361556	1	145	Tian_Subcortex	32	47	37	-32.5	-38.5	-4.5
361651	1	146	Tian_Subcortex	32	48	35	-32.5	-36.5	-8.5
361652	1	147	Tian_Subcortex	32	48	36	-32.5	-36.5	-6.5
361653	1	148	Tian_Subcortex	32	48	37	-32.5	-36.5	-4.5
361654	1	149	Tian_Subcortex	32	48	38	-32.5	-36.5	-2.5
361747	1	150	Tian_Subcortex	32	49	34	-32.5	-34.5	-10.5
361748	1	151	Tian_Subcortex	32	49	35	-32.5	-34.5	-8.5
361749	1	152	Tian_Subcortex	32	49	36	-32.5	-34.5	-6.5
361750	1	153	Tian_Subcortex	32	49	37	-32.5	-34.5	-4.5
361843	1	154	Tian_Subcortex	32	50	33	-32.5	-32.5	-12.5
361844	1	155	Tian_Subcortex	32	50	34	-32.5	-32.5	-10.5
361845	1	156	Tian_Subcortex	32	50	35	-32.5	-32.5	-8.5
361846	1	157	Tian_Subcortex	32	50	36	-32.5	-32.5	-6.5
361847	1	158	Tian_Subcortex	32	50	37	-32.5	-32.5	-4.5
361939	1	159	Tian_Subcortex	32	51	32	-32.5	-30.5	-14.5
361940	1	160	Tian_Subcortex	32	51	33	-32.5	-30.5	-12.5
361941	1	161	Tian_Subcortex	32	51	34	-32.5	-30.5	-10.5
361942	1	162	Tian_Subcortex	32	51	35	-32.5	-30.5	-8.5
361943	1	163	Tian_Subcortex	32	51	36	-32.5	-30.5	-6.5
362036	1	164	Tian_Subcortex	32	52	32	-32.5	-28.5	-14.5
362037	1	165	Tian_Subcortex	32	52	33	-32.5	-28.5	-12.5
362038	1	166	Tian_Subcortex	32	52	34	-32.5	-28.5	-10.5
362039	1	167	Tian_Subcortex	32	52	35	-32.5	-28.5	-8.5
362132	1	168	Tian_Subcortex	32	53	31	-32.5	-26.5	-16.5
362133	1	169	Tian_Subcortex	32	53	32	-32.5	-26.5	-14.5
362134	1	170	Tian_Subcortex	32	53	33	-32.5	-26.5	-12.5
362135	1	171	Tian_Subcortex	32	53	34	-32.5	-26.5	-10.5
362136	1	172	Tian_Subcortex	32	53	35	-32.5	-26.5	-8.5
362228	1	173	Tian_Subcortex	32	54	30	-32.5	-24.5	-18.5
362229	1	174	Tian_Subcortex	32	54	31	-32.5	-24.5	-16.5
